followers_count,friends_count,statuses_count,favourites_count,listed_count,verified,has_url,description_length,has_description,screen_name_length,name_length,follower_following_ratio,following_follower_ratio,engagement_rate,username_digit_ratio,account_age_days,tweet_count,mean_interval_sec,std_interval_sec,min_interval_sec,burst_ratio,night_post_ratio,posting_hour_std,daily_count_mean,daily_count_std,daily_count_cv,interval_entropy,label
3869942,6201,28291,1396,12362,1,1,116,1,7,8,623.9829087391164,0.0016023491818871751,0.049342570337904706,0.0,6203,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,39,31,4,0,0,0,0,0,8,12,0.025,19.5,0.125,0.0,5945,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
81823325,122006,9286,2107,207749,1,1,86,1,8,9,670.6445122001197,0.0014910906946021725,0.22687627866910737,0.0,6547,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
98422,120,1819,4047,296,1,1,144,1,14,15,813.404958677686,0.0012192272131513976,2.2236263736263737,0.0,4960,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35164841,1023,13935,433,12102,1,1,0,0,11,12,34340.6650390625,2.909155684532864e-05,0.03107060849598163,0.0,5527,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8865461,28,5580,19,19791,1,1,160,1,8,9,305705.5517241379,3.158323841442217e-06,0.003404407812220032,0.0,6928,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,46,4,0,0,0,0,27,1,15,15,0.0425531914893617,15.333333333333334,0.0,0.5,2061,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
989533,190,5858,6138,187,1,1,152,1,10,19,5180.801047120419,0.00019200957218246163,1.0476190476190477,0.0,5678,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22772146,135,61129,2862,20805,1,1,114,1,6,17,167442.25,5.928294771678753e-06,0.046818256175363976,0.0,5061,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
369322,152,13336,384,3998,1,1,122,1,6,8,2413.8692810457514,0.00041156386144377687,0.028792082177401215,0.0,5603,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45042254,3,36710,0,136231,1,1,155,1,11,17,11260563.5,6.660412539292271e-08,0.0,0.0,6886,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1278734,116,2524,1608,606,1,1,170,1,12,11,10929.350427350428,9.071465158926595e-05,0.6368316831683168,0.0,2464,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35828,6930,6244,14515,216,1,1,155,1,14,15,5.169239647958448,0.1934187390102989,2.324259407526021,0.0,4774,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
371354,6136,49137,2894,1815,1,1,0,0,6,15,60.51067296724784,0.016523272879051042,0.05889535593634255,0.0,6564,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
58285236,1,13751,6366,86976,1,1,40,1,7,7,29142618.0,1.7157003239087798e-08,0.4629144851657941,0.0,6947,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30839878,259,1420,7,44289,1,1,0,0,9,2,118614.91538461538,8.398217126597675e-06,0.0049261083743842365,0.0,5699,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1582775,1571,12348,14325,3373,1,1,115,1,13,14,1006.8543256997456,0.0009925599074031954,1.1600129565146975,0.0,6168,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
637388,2631,13423,12311,2138,1,1,137,1,9,10,242.16869300911853,0.0041277775424426845,0.9170887961859356,0.0,6066,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22458623,295,11517,90,3487,1,1,93,1,8,9,75873.72635135135,1.3135265989581552e-05,0.007813856572321583,0.0,4665,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22176,23477,2479,15174,8,0,0,145,1,14,6,0.9445438282647585,1.0586192902556704,6.118548387096774,0.0,3353,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
757453,2584,15453,7747,2748,1,1,37,1,13,14,293.0185686653772,0.0034114282847539255,0.5012941633234114,0.0,4390,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3810939,96,4006,75,10945,1,1,155,1,13,14,39288.030927835054,2.5190635381297002e-05,0.018717244821562267,0.0,6205,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
629,588,7337,589,16,0,1,77,1,12,13,1.067911714770798,0.9333333333333333,0.08026710275279368,0.0,6149,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
647651,125485,92667,232808,2892,0,0,66,1,10,8,5.1611414819183015,0.1937537442947756,2.512280398843182,0.0,4351,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
634056,18608,48198,47106,942,1,1,158,1,11,12,34.072545542479446,0.029347519229343734,0.9773231809788585,0.0,5973,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
46,148,199,498,0,0,0,55,1,9,16,0.3087248322147651,3.148936170212766,2.49,0.0,6199,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1030736,89,2007,601,3145,1,0,151,1,15,20,11452.622222222222,8.634598350500662e-05,0.2993027888446215,0.0,4426,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
251,418,9813,48,3,0,0,41,1,11,8,0.5990453460620525,1.6587301587301588,0.004890972080701039,0.0,5524,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,235,25,7,0,0,0,11,1,10,2,0.00847457627118644,78.33333333333333,0.2692307692307692,0.7272727272727273,2419,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
335003,252748,2073,1383,847,0,1,143,1,15,50,1.3254374893669214,0.7544626332819907,0.6668273866923818,0.0,6241,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2540025,5170,32773,11475,8896,1,0,157,1,14,11,491.20576290852836,0.0020354122359377423,0.35012509916397144,0.0,5995,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4964785,41,69070,5206,6826,0,1,40,1,11,12,118209.16666666667,8.258160573285535e-06,0.07537171895585702,0.0,5326,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,18,17,0,0,0,0,0,0,14,6,0.15789473684210525,4.5,0.0,0.5333333333333333,2063,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1730436,4856,15709,33127,121,1,1,36,1,7,8,356.2767140210006,0.002806227559859157,2.108656906429026,0.0,2997,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
369666,929,12613,1559,2240,1,1,94,1,13,14,397.49032258064517,0.0025130725761293273,0.123592833359759,0.0,5504,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6510640,1,10396,8,2397,1,1,8,1,9,10,3255320.0,1.5359470749500702e-07,0.0007694527267481004,0.0,5502,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
265523,840,813,221,2872,1,0,151,1,12,13,315.7229488703924,0.0031635558367605187,0.2714987714987715,0.0,4784,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
729330,111,1723,24,1913,1,1,131,1,12,13,6511.875,0.00015219427118825333,0.013921113689095127,0.0,6215,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1449544,1205,30019,779,7463,1,1,81,1,6,9,1201.9436152570481,0.0008312953375024576,0.025949367088607594,0.0,6078,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16177929,5253,250864,10320,56946,1,1,110,1,6,6,3079.1642558051008,0.0003247016151015612,0.041137663683654555,0.0,5943,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12863312,1,3647,81,7417,1,0,23,1,9,10,6431656.0,7.774047012616422e-08,0.022203947368421052,0.0,5486,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18903185,44,6532,14,65362,1,0,14,1,13,15,420070.77777777775,2.3276499527645763e-06,0.0021429664778815248,0.0,6374,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15762008,267,4866,364,3056,1,1,107,1,11,12,58813.46268656717,1.6939465013628655e-05,0.07478939798643928,0.0,3962,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
67059,24126,1198,1200,142,0,1,155,1,14,18,2.779417250383388,0.3597673725022368,1.0008340283569641,0.0,4730,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
314,381,5254,736,3,0,0,104,1,12,15,0.8219895287958116,1.2095238095238094,0.1400570884871551,0.0,5627,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
201,1052,714,7220,0,0,0,89,1,9,5,0.1908831908831909,5.207920792079208,10.097902097902098,0.0,3891,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5063337,44,10768,739,9781,1,1,35,1,10,10,112518.6,8.689919574794335e-06,0.06862289906212277,0.0,6209,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
338,90,2064,38,2,0,1,131,1,11,27,3.7142857142857144,0.26548672566371684,0.018401937046004842,0.0,4633,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1760514,10,693,0,342,1,1,30,1,7,20,160046.72727272726,5.680156090689372e-06,0.0,0.0,4069,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
91691,8,33893,0,126,1,1,143,1,10,15,10187.888888888889,8.724861492823801e-05,0.0,0.0,6197,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,18,2,1,0,0,0,5,1,12,4,0.0,18.0,0.3333333333333333,0.6153846153846154,2027,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2452,2792,14962,5311,67,0,1,157,1,12,12,0.8779090583601862,1.13819812474521,0.35494219073715166,0.0,5402,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
789835,0,214,1,5025,0,1,150,1,11,11,789835.0,0.0,0.004651162790697674,0.25,5276,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5353835,736,14378,357,15244,1,1,134,1,12,13,7264.362279511533,0.000137471525089674,0.024827873982891716,0.0,6167,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1016,180,2331,4022,11,1,1,138,1,15,14,5.613259668508287,0.17699115044247787,1.7246998284734134,0.125,2243,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
475853,560,35927,20033,2031,1,1,13,1,8,9,848.222816399287,0.0011768315491726454,0.5575873970162547,0.0,5696,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,63,2,6,0,0,0,0,0,15,15,0.0625,12.6,2.0,0.0,2515,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
152,292,528,215,8,0,0,20,1,14,13,0.5187713310580204,1.908496732026144,0.4064272211720227,0.13333333333333333,4526,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55,327,143,143,0,0,0,97,1,13,14,0.1676829268292683,5.839285714285714,0.9930555555555556,0.0,2014,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1251765,151,13673,4910,8995,1,1,160,1,12,20,8235.296052631578,0.000120629574537094,0.35907561796109405,0.0,6093,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
401527,274,3875,3720,150,1,1,13,1,10,5,1460.0981818181817,0.0006823932577553744,0.9597523219814241,0.0,5816,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,155,12,13,0,0,0,121,1,13,13,0.05128205128205128,17.22222222222222,1.0,0.0,5160,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
353568,1996,84042,94514,503,1,1,86,1,6,7,177.0495743615423,0.005645291300990754,1.124590983187178,0.0,3780,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1717661,104,485,1721,1300,1,0,74,1,12,10,16358.67619047619,6.054741852587994e-05,3.5411522633744856,0.0,4519,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
107028,1202,10718,904,1544,1,1,138,1,15,10,88.96758104738154,0.011230601052051313,0.0843362253941599,0.0,6177,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,13,6,25,0,0,0,99,1,12,11,0.0,13.0,3.5714285714285716,0.15384615384615385,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,613,2,27,0,0,0,81,1,15,16,0.0016286644951140066,306.5,9.0,0.5,2042,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
594565,1936,269548,52,258,1,1,135,1,15,16,306.9514713474445,0.0032561565915306292,0.00019291483181165577,0.125,5390,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5052434,1,611,124,543,1,0,18,1,9,10,2526217.0,1.9792436716157654e-07,0.20261437908496732,0.0,3983,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,321,29,93,0,0,0,50,1,13,4,0.11180124223602485,8.675675675675675,3.1,0.5714285714285714,2745,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
626495,97,1475,19291,39,1,1,8,1,7,5,6392.806122448979,0.00015482940034732863,13.069783197831978,0.25,3192,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
127,264,2165,23,0,0,0,93,1,9,19,0.47924528301886793,2.0625,0.01061865189289012,0.2,6072,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
580,708,540,513,38,0,1,31,1,12,11,0.8180535966149506,1.2185886402753872,0.9482439926062847,0.15384615384615385,6265,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3078442,394,17109,2117,977,1,1,51,1,9,6,7793.524050632911,0.0001279867777314701,0.12372881355932204,0.0,5199,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
148189,1122,12932,3986,999,1,1,160,1,15,19,131.95814781834372,0.007571361090491936,0.3082038196860744,0.0,5883,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
496310,1396,33911,391,2441,1,1,110,1,13,15,355.2684323550465,0.002812752487855397,0.011529841943854683,0.0,5609,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
598,3639,197,58907,1,0,0,80,1,13,43,0.16428571428571428,6.075125208681135,297.510101010101,0.14285714285714285,3267,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
891029,1836,25686,13043,3773,1,1,62,1,10,18,485.04572672836144,0.0020605366822665904,0.5077665745318644,0.0,6193,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3971621,972,6478,12326,7447,1,1,160,1,9,10,4081.830421377184,0.0002447362815494526,1.9024540824201266,0.0,6136,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
122966,3465,7687,4185,860,1,1,41,1,12,13,35.47778418926717,0.028178291736807436,0.5443548387096774,0.0,6099,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
493,675,2959,2692,1,0,0,160,1,10,10,0.7292899408284024,1.3663967611336032,0.9094594594594595,0.0,6074,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
984,4175,73,433,0,0,0,138,1,12,8,0.23563218390804597,4.238578680203045,5.851351351351352,0.0,2209,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40461,26213,67145,3066,1540,0,1,159,1,12,13,1.5434882124055849,0.6478424200484405,0.045661692431418106,0.0,6611,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
397173,1,26848,12,890,1,1,31,1,13,19,198586.5,2.5177881734453916e-06,0.0004469440202614623,0.0,6071,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
47191495,905,405414,18429,201097,1,1,51,1,7,18,52087.74282560706,1.917718395704175e-05,0.04545712418139437,0.0,6937,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
69433,445,19265,20906,37,0,1,118,1,7,10,155.67937219730942,0.006408963908171789,1.0851240527353887,0.0,5199,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
188,187,9503,1863,0,0,0,18,1,11,19,1.0,0.9894179894179894,0.19602272727272727,0.0,5457,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
237,865,50,14498,0,0,0,123,1,12,18,0.27367205542725176,3.634453781512605,284.27450980392155,0.0,3217,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44040,2,139,9,8,0,0,16,1,12,7,14680.0,4.541222951340796e-05,0.06428571428571428,0.0,2292,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61820,1066,171931,771,58,1,1,134,1,13,14,57.93814432989691,0.017243331554002685,0.0044843310145871625,0.0,4301,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
452095,1526,2262,24892,2593,1,1,146,1,10,11,296.06745252128354,0.0033753892978482447,10.999558108705259,0.0,5343,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,172,0,0,0,0,0,0,0,6,5,0.011560693641618497,57.333333333333336,0.0,0.2857142857142857,2013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
106428,5735,98660,12597,249,0,1,157,1,15,17,18.55439330543933,0.05388568905091657,0.12767963024903456,0.0,5092,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7015,510,1384,485,389,1,0,134,1,13,14,13.727984344422701,0.07269099201824401,0.35018050541516244,0.0,5422,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64311272,305,4253,896,69122,1,1,0,0,11,17,210167.55555555556,4.742558897877826e-06,0.21062529384109074,0.0,6183,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14199792,39,6896,3,44890,1,1,14,1,9,19,354994.8,2.7465189105221463e-06,0.00043497172683775554,0.0,6238,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96,357,10355,1341,3,0,0,160,1,13,14,0.2681564245810056,3.6804123711340204,0.1294901506373117,0.0,5122,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8234492,1724,54340,11304,31955,1,1,126,1,3,31,4773.618550724637,0.00020936322369816818,0.2080197272777461,0.0,6519,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33787,71,503,218,9,0,1,33,1,10,26,469.2638888888889,0.0021013377530484196,0.43253968253968256,0.0,2660,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
451,2938,208,27,1,0,0,0,0,14,15,0.15345355563116705,6.5,0.1291866028708134,0.0,2510,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
713860,364,6011,21,2165,0,0,133,1,15,12,1955.7808219178082,0.000509903188435844,0.003493013972055888,0.0,5099,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8635,1067,31614,4998,407,1,1,157,1,12,15,8.085205992509364,0.12355257063455304,0.15808951447097896,0.0,6107,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
815884,27023,29424,8768,4631,1,1,159,1,14,15,30.191089402013027,0.03312108936921257,0.29797790994052675,0.0,6204,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
67356,4876,21492,17605,787,0,1,114,1,9,25,13.810949354111134,0.07239039743456507,0.8191038942911646,0.0,6190,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
266,225,81,0,4,0,1,45,1,14,15,1.176991150442478,0.8426966292134831,0.0,0.0,6283,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
139479,14507,72967,5307,2170,1,1,61,1,11,11,9.613937138130687,0.10400774304559794,0.07273051200526258,0.0,6430,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
108439591,221,10823,7587,130578,1,1,12,1,9,10,488466.62612612615,2.0380010282591253e-06,0.7009423503325942,0.0,6216,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4479690,575,2782,785,11533,1,1,0,0,14,13,7777.239583333333,0.00012835706748523504,0.2820697089471793,0.13333333333333333,6155,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
707380,595,4990,3893,643,1,0,98,1,11,12,1186.8791946308725,0.0008411308757232665,0.7800040072129834,0.0,5450,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
780157,262,19264,53,2298,1,1,151,1,12,36,2966.3764258555134,0.0003358294089146045,0.0027511030365948612,0.0,2536,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,64,16,7,0,0,0,0,0,12,19,0.2,4.571428571428571,0.4117647058823529,0.3076923076923077,5581,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
38225267,486,27085,0,9616,1,1,37,1,8,9,78491.30800821356,1.2714103142455404e-05,0.0,0.0,5150,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
51620281,234,3375,141,119581,1,1,75,1,9,10,219660.77021276596,4.533101930748848e-06,0.0417654028436019,0.0,6092,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
39399,1736,15861,37418,9,0,0,107,1,11,13,22.682210708117445,0.04406091370558376,2.3589711259614172,0.0,2574,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
